attractiveness,disclosure,threshold,matches,true_satisfaction
0.648651,0.314389,0.5,7,5
0.584029,0.961673,0.5,10,7
0.666622,0.639678,0.5,14,13
0.648661,0.298562,0.5,10,9
0.555601,0.569319,0.5,9,7
0.773244,0.633027,0.5,15,8
0.468478,0.929819,0.5,1,0
0.658941,0.984982,0.5,18,17
0.7448,0.412869,0.5,11,9
0.822675,0.421623,0.5,12,10
0.629124,0.957749,0.5,13,11
0.534678,0.980009,0.5,4,4
0.67878,0.239015,0.5,8,7
0.732697,0.566384,0.5,19,16
0.420069,0.769478,0.5,3,1
0.658118,0.798947,0.5,12,9
0.493608,0.955414,0.5,6,5
0.77006,0.226208,0.5,14,9
0.450007,0.399926,0.5,9,8
0.695116,0.74512,0.5,16,12
0.413849,0.42649,0.5,8,8
0.560902,0.799244,0.5,9,6
0.425,0.83705,0.5,3,3
0.622101,0.37103,0.5,13,9
0.595141,0.483782,0.5,9,6
0.577446,0.812575,0.5,7,4
0.524255,0.751225,0.5,5,5
0.486717,0.926287,0.5,6,5
0.809749,0.326381,0.5,10,7
0.374695,0.564404,0.5,3,1
0.569768,0.262361,0.5,10,7
0.509734,0.237479,0.5,10,9
0.481052,0.900225,0.5,1,1
0.660947,0.77741,0.5,8,8
0.551691,0.30565,0.5,9,8
0.55061,0.916553,0.5,6,5
0.59168,0.977711,0.5,5,5
0.588165,0.256858,0.5,18,13
0.364945,0.867948,0.5,2,0
0.613324,0.806747,0.5,12,9
0.8002,0.810073,0.5,29,23
0.699519,0.332455,0.5,12,10
0.681285,0.312105,0.5,15,11
0.878406,0.728397,0.5,37,29
0.726453,0.91341,0.5,20,14
0.596256,0.374175,0.5,14,10
0.524319,0.597231,0.5,9,7
0.306643,0.8433,0.5,1,0
0.67985,0.51091,0.5,9,9
0.525548,0.201407,0.5,9,7
0.761898,0.810156,0.5,25,20
0.466526,0.865891,0.5,1,1
0.517683,0.413519,0.5,11,10
0.56579,0.789218,0.5,11,7
0.433586,0.769694,0.5,2,2
0.757518,0.882048,0.5,20,16
0.618854,0.389214,0.5,8,6
0.929473,0.748435,0.5,41,30
0.347649,0.707128,0.5,1,0
0.542672,0.508262,0.5,4,4
0.455844,0.780268,0.5,2,2
0.67969,0.863339,0.5,19,15
0.378982,0.469595,0.5,5,5
0.406352,0.93115,0.5,1,0
0.553637,0.751283,0.5,4,4
0.575295,0.601952,0.5,14,13
0.792875,0.304896,0.5,12,11
0.30923,0.573629,0.5,2,2
0.450665,0.689449,0.5,1,0
0.523346,0.629918,0.5,7,7
0.496748,0.433132,0.5,11,6
0.385388,0.901598,0.5,0,0
0.438513,0.821946,0.5,3,2
